2025/10/13 10:10:01.197921 [INFO] Log Publish not set, skipping...
2025/10/13 10:30:01.273190 [INFO] Log Publish not set, skipping...
2025/10/13 10:50:01.308354 [INFO] Log Publish not set, skipping...
2025/10/13 11:10:01.678865 [INFO] Log Publish not set, skipping...
2025/10/13 11:30:01.734092 [INFO] Log Publish not set, skipping...
2025/10/13 11:50:01.769657 [INFO] Log Publish not set, skipping...
2025/10/13 12:10:01.237455 [INFO] Log Publish not set, skipping...
2025/10/13 12:30:01.274882 [INFO] Log Publish not set, skipping...
2025/10/13 12:50:01.314641 [INFO] Log Publish not set, skipping...
2025/10/13 13:10:01.631667 [INFO] Log Publish not set, skipping...
2025/10/13 13:30:01.673304 [INFO] Log Publish not set, skipping...
2025/10/13 13:50:01.708705 [INFO] Log Publish not set, skipping...
2025/10/13 14:10:01.083788 [INFO] Log Publish not set, skipping...
2025/10/13 14:30:01.107519 [INFO] Log Publish not set, skipping...
2025/10/13 14:50:01.123573 [INFO] Log Publish not set, skipping...
2025/10/13 15:10:01.397419 [INFO] Log Publish not set, skipping...
2025/10/13 15:30:01.429643 [INFO] Log Publish not set, skipping...
2025/10/13 15:50:01.463063 [INFO] Log Publish not set, skipping...
2025/10/13 16:10:01.978672 [INFO] Log Publish not set, skipping...
